;origin_css;destination_css;distance;duration
144;Husumvej (overfor 131);Borups Plads (overfor Stefansgade 73);5.7;11 
145;Husumvej (overfor 131);Arne Jacobsens Alle 7;24.1;21 
146;Husumvej (overfor 131);Frederik Vs Vej 13  (Rigshospital P huset);8.3;17 
147;Husumvej (overfor 131);Soborg Hovedgade 88 /Carl Blochs Alle (p plads);4.9;9 
148;Husumvej (overfor 131);Borgbjergsvej 43;9.6;20 
149;Husumvej (overfor 131);Vigerslev Venge 60;6.9;15 
150;Husumvej (overfor 131);Dronninglundvej 12;2.3;5 
151;Husumvej (overfor 131);Westend 8;8.0;19 
152;Drechselsgade 13;Albaniensgade 4;4.3;13 
153;Drechselsgade 13;Bispebjerg Bakke 22;8.7;23 
154;Drechselsgade 13;Nesbyholmvej 1;8.7;20 
155;Drechselsgade 13;Halvtolv 19;4.3;14 
156;Drechselsgade 13;Solvgade 11;4.8;15 
157;Drechselsgade 13;Amalievej 1;5.4;15 
158;Drechselsgade 13;Esthersvej 34;10.5;25 
159;Drechselsgade 13;Husumvej (overfor 131);10.8;24 
160;Drechselsgade 13;Orientkaj 4;8.1;21 
161;Drechselsgade 13;Bygmestervej 59;7.4;19 
162;Drechselsgade 13;Egirsgade 65;7.1;19 
163;Drechselsgade 13;Borups Plads (overfor Stefansgade 73);5.8;15 
164;Drechselsgade 13;Arne Jacobsens Alle 7;5.0;11 
165;Drechselsgade 13;Frederik Vs Vej 13  (Rigshospital P huset);6.4;17 
166;Drechselsgade 13;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);12.5;24 
167;Drechselsgade 13;Borgbjergsvej 43;5.0;11 
168;Drechselsgade 13;Vigerslev Venge 60;9.0;19 
169;Drechselsgade 13;Dronninglundvej 12;9.4;23 
170;Drechselsgade 13;Westend 8;4.3;15 
171;Orientkaj 4;Albaniensgade 4;7.3;20 
172;Orientkaj 4;Bispebjerg Bakke 22;7.0;13 
173;Orientkaj 4;Nesbyholmvej 1;9.7;17 
174;Orientkaj 4;Halvtolv 19;6.5;18 
175;Orientkaj 4;Solvgade 11;3.5;9 
176;Orientkaj 4;Amalievej 1;6.1;17 
177;Orientkaj 4;Esthersvej 34;4.0;10 
178;Orientkaj 4;Husumvej (overfor 131);10.5;21 
